business_name,category,city,address,phone,source
Dugar Realty,Real Estate Agency,Lucknow,"77/21, Nagi Chowk, Lucknow",+91 7678132391,Sulekha
Narayanan Clinic,Clinic,Delhi,"H.No. 08, Radhakrishnan Ganj, Delhi",+91 8302471727,Justdial
Neha Digital Studio,Photography Studio,Chennai,"H.No. 779, Chakrabarti Chowk, Chennai",+91 7605858630,Justdial
Sekhon Gym,Gym & Fitness Center,Bengaluru,"H.No. 17, Chauhan Nagar, Bengaluru",+91 8523944524,Google Maps
Netra Realty,Real Estate Agency,Chennai,"H.No. 880, Modi Zila, Chennai",+91 9187122675,Google Maps
Jhaveri Motors,Automobile Repair,Kolkata,"75/503, Narula Chowk, Kolkata",+91 7199860738,Sulekha
Patla Bake House,Bakery,Jaipur,"71/130, Pant Path, Jaipur",+91 8560649171,Google Maps
Bishakha Bakery,Bakery,Mumbai,"H.No. 10, Tailor Street, Mumbai",+91 8471432659,Google Maps
Logan General Store,Grocery Store,Hyderabad,"H.No. 493, Dara Ganj, Hyderabad",+91 9238467067,Google Maps
Kale Properties,Real Estate Agency,Bengaluru,"35, Sachdeva Zila, Bengaluru",+91 9995518783,Google Maps
Dasgupta Bake House,Bakery,Jaipur,"79, Desai Circle, Jaipur",+91 7905078116,Justdial
Agrawal Studio,Photography Studio,Mumbai,"08/69, Trivedi Chowk, Mumbai",+91 7485684264,Sulekha
Peter Tutorials,Coaching Center,Delhi,"21/699, Thaman Path, Delhi",+91 9574747498,Sulekha
Sahota Photography,Photography Studio,Kolkata,"34/65, Sethi Road, Kolkata",+91 8591184976,Sulekha
Kiaan Boutique,Clothing Store,Mumbai,"98, Murthy Road, Mumbai",+91 9025889777,Sulekha
Teerth Medical Store,Pharmacy,Pune,"945, Gokhale Street, Pune",+91 8086241139,Google Maps
Naidu Medical Store,Pharmacy,Ahmedabad,"15/879, Sahni, Ahmedabad",,Justdial
Sami Healthcare,Clinic,Chennai,"H.No. 810, Dhillon Marg, Chennai",+91 9847239878,Google Maps
Bhalla Medical Center,Clinic,Ahmedabad,"424, Dhingra Road, Ahmedabad",+91 8982394614,Google Maps
David Supermarket,Grocery Store,Ahmedabad,"805, Chaudry Chowk, Ahmedabad",+91 9488777698,Justdial
Udarsh Realty,Real Estate Agency,Mumbai,"840, Ram Marg, Mumbai",+91 8660662872,Google Maps
Omaja Cafe,Cafe,Jaipur,"00/43, Savant, Jaipur",+91 9729336309,Google Maps
Pillai General Store,Grocery Store,Mumbai,"89/33, Sen Road, Mumbai",+91 9308936097,Justdial
Borde Fitness Center,Gym & Fitness Center,Ahmedabad,"281, Baria Marg, Ahmedabad",+91 9232014005,Google Maps
Mallick Gym,Gym & Fitness Center,Ahmedabad,"42/29, Ahluwalia Road, Ahmedabad",+91 8555186923,Sulekha
Ganga Fitness Studio,Gym & Fitness Center,Kolkata,"20/259, Mitra Nagar, Kolkata",+91 9257221847,Justdial
Vritti Restaurant,Restaurant,Pune,"H.No. 583, Verma Street, Pune",+91 9555338091,Google Maps
Ekansh Garage,Automobile Repair,Hyderabad,"688, Chanda Marg, Hyderabad",+91 8681912628,Sulekha
Ikshita Restaurant,Restaurant,Ahmedabad,"555, Kamdar Road, Ahmedabad",+91 7027739329,Justdial
Andra Coaching Classes,Coaching Center,Chennai,"H.No. 573, Kohli, Chennai",+91 9790455706,Justdial
Nagi Medical Center,Clinic,Hyderabad,"16, Zachariah Road, Hyderabad",+91 9701191737,Justdial
Barkha Tutorials,Coaching Center,Delhi,"58/87, Bassi Chowk, Delhi",+91 9763259051,Sulekha
Hans Garage,Automobile Repair,Lucknow,"H.No. 81, Ganesh Zila, Lucknow",+91 8578518367,Justdial
Bhatti Medical Center,Clinic,Kolkata,"361, Yogi Ganj, Kolkata",+91 9924195389,Justdial
Radhika General Store,Grocery Store,Bengaluru,"20/750, Borah Zila, Bengaluru",+91 9629188647,Justdial
Chatura Motors,Automobile Repair,Kolkata,"H.No. 81, Kari, Kolkata",,Justdial
Reddy Medical Center,Clinic,Chennai,"76, Mutti Marg, Chennai",+91 7115786418,Sulekha
Ramachandran Tutorials,Coaching Center,Hyderabad,"18/091, Bath, Hyderabad",+91 9248980075,Sulekha
Parmar Tea Point,Cafe,Ahmedabad,"14/49, Manda Zila, Ahmedabad",+91 7557096194,Sulekha
